,CategoryOfFundingActivity.Element:Text
"CD, DPR, ED, EN, ENV, FN, HL, HO, NR, O",1
"BC, ED, ELT, IS",1
"BC, CD, DPR, ELT, FN, HL, HO, ISS, LJL, O, RD",1
"CP, ED, ENV, HL, NR",1
"FN, HL, HO, T",1
"BC, CD, CP, HO",1
"AG, ED, ELT, FN, HL, NR",1
"CD, ED, ELT, HL, NR, RD",1
"CD, ST",1
"BC, ED, ELT, ENV, HO, NR, RD",1
"AG, BC, CD, DPR, ED, ELT, EN, ENV, FN, HO, IS, ISS, LJL, NR, RD, ST",1
"AG, BC, CD, DPR, ED, ELT, EN, ENV, HL, NR, O, ST",1
"ENV, FN, HL, IS, ST",1
"BC, CD, ED, ELT, LJL, O, RD",1
"ED, ELT, ENV, IS, NR, O, ST",1
"CD, ED, ELT, NR, RD",1
"AG, RD, ST",1
"ED, ELT, HL, RA",1
"CD, HO, T",1
"ED, ELT, HL, HO, ISS",1
"ELT, IS, ISS",1
"FN, IS",1
"BC, CD, ED, ELT, ENV, FN, HU, NR, RD",1
"AR, CD, ED, ELT, ENV, NR, RD",1
"CD, HU, LJL",1
"BC, ENV, RD",1
"CD, ED, ENV, FN, HL, IS, ST",1
"DPR, ED, O",1
"AR, HL",1
"CD, CP",1
"CD, ED, ELT, ENV, HU, IS, NR, RD",1
"CD, ED, ELT, ENV, HU, NR, RD",1
"EN, RD",1
"AG, CD, ENV, NR, O, ST",1
"IS, NR, O, ST",1
"DPR, ED, ENV, FN, HO, O",1
"ED, ELT, T",1
"LJL, T",1
"AG, CD, ED, EN, ENV, NR",1
"AG, CD, ENV, FN, NR, RD",1
"ELT, EN, O, RD, ST",1
"BC, CD, ED, EN, ENV, FN, HL, RD",1
"ED, ENV, FN, HL, NR, ST",1
"BC, ED, ENV",1
"AG, ED, ELT, EN, NR, RD",1
"AG, CD, EN",1
"BC, CD, ELT, ISS",1
"AG, DPR, NR",1
"CD, ED, ENV, T",1
"EN, ENV, O",1
"AG, O, RD",1
"BC, CD, ELT, LJL, O, RD",1
"CD, DPR, ED, ENV, HU, NR, RD, ST",1
"BC, CD, ED, ELT, ENV, IS, NR, RD",1
"CD, ISS, LJL",1
"ELT, ISS",1
"CD, ENV, ST",1
"BC, ED, ELT, ISS, O, ST",1
"CD, DPR, ED, ENV, RD",1
"AG, BC, CD, DPR, ELT, ENV, FN, RD",1
"AR, ENV, HU",1
"BC, ED, ELT, IS, ST",1
"AG, AR, CD, CP, DPR, ED, ELT, EN, ENV, FN, HL, HO, ISS, LJL, NR, RD",1
"AG, AR, BC, CD, DPR, ED, ELT, EN, ENV, FN, HL, HO, LJL, NR, RD",1
"CD, DPR, ED, ELT, ENV, NR, RD",1
"FN, HL, IS",1
"ED, ELT, ENV, HL, IS, NR, ST",1
"AG, CD, DPR, ED, ELT, FN, HL, HO, HU, NR, RD, ST, T",1
"EN, HU",1
"EN, IS",1
"ED, HL, IS, RD",1
"AG, EN, ENV, FN, IS, NR, O",1
"HL, LJL, ST",1
"CD, LJL, RD",1
"CP, FN, HL, IS",1
"CD, CP, HL",1
"ED, ELT, ENV, IS, NR, RD, ST",1
"ED, ELT, ENV, HL, NR",1
"ENV, RD",1
"ENV, FN, IS, NR, ST",1
"AG, BC, ED, ELT, ENV, HL, IS, NR, RD, ST",1
"CD, ELT, HO",1
"CP, ED, HL, ST",1
"CD, DPR, LJL, ST",1
"HL, HU, ST",1
"HU, LJL, RD",1
"ENV, HL, NR, ST",1
"CD, DPR, ED, ENV, HL, NR, ST",1
"BC, CD, ENV, NR, O, RD, ST",1
"CD, ED, ELT, HL, HO, RD",1
"AR, BC, CD, ED, ELT, EN, ENV, O, ST",1
"AR, BC, CD, ED, ELT, EN, ENV, HL, O, ST",1
"HL, IS",1
"AG, CP",1
"ED, ELT, FN, HL, HO, ISS, LJL",1
"AR, CD, ED, ELT, ENV, HU",1
"BC, CP, ED, HL",1
"AG, DPR, ED, EN, ENV, FN, HL, NR, RD, ST",1
"AG, CP, ED, FN, HL",1
"EN, ENV, HL",1
"AR, CD, ED, ELT, HL, HU, IS, ISS, LJL, RD",1
"ED, ELT, IS, NR, RD",1
"CP, ENV, FN, HL, ST",1
"LJL, RD",1
"DPR, ELT, ENV, IS, NR, ST",1
"BC, CD, ELT, O, RD",1
"CD, HL, O",1
"AR, CD, DPR, ED, ELT, ENV, FN, HL, HO, NR",1
"NR, RD",1
"ED, IS, NR, RD",1
"AG, BC, CD, ED, ELT, EN, ENV, LJL",1
"CD, ED, ENV, NR, O, ST",1
"DPR, ENV, NR, RD",1
"BC, ELT, ST",1
"BC, CD, EN, NR, RD",1
"ED, ELT, ENV, HU",1
"ENV, IS, NR, T",1
"AG, BC, CD, DPR, ED, ELT, EN, ENV, FN, HL, HO, IS, LJL, NR, RD, ST",1
"AG, AR, CD, DPR, ED, ELT, EN, ENV, FN, HL, HO, ISS, LJL, NR, RD",1
"RD, ST",1
"ENV, HL, ST",1
"ENV, FN, HL, IS, NR, RD, ST",1
"CD, ED, ELT, HL, HO, IS, RD",1
"AG, ENV, IS, NR",1
"AG, BC, ED, ENV, FN, ST",1
"CD, ED, ENV, NR, T",1
"ED, HO, HU, ISS, LJL",1
"AG, DPR, ED, ENV, NR, ST",1
"CD, CP, FN",1
"CD, DPR, ED, ELT, EN, ENV, FN, HL, HO, LJL, O, T",1
"AR, CD, ENV, NR, O, RD",1
"ENV, IS, T",1
"AG, BC, CP, HL",1
"AG, CD, ED, ENV, FN, HL, NR",1
"DPR, ED, O, RD",1
"AG, BC, CD, CP, ED, ELT, ENV, FN, HL, IS, NR, RD, ST",1
"AG, BC, CD, ED, ELT, ENV, FN, HL, IS, ST",1
"AR, ED, ENV, NR",1
"AG, BC, CD, ED, RD",1
"AG, ED, ELT, ENV, ST",1
"AG, BC, EN, NR",1
"AG, BC, CD, ED, ELT, ENV, HL, LJL, NR, RD",1
"BC, CD, ED, ELT, IS, LJL, RD",1
"CD, ED, ELT, NR, O",1
"AG, CD, DPR, ED, ELT, ENV, FN, HL, HO, LJL, NR, O, RD",1
"AG, BC, CP, ED, FN, HL, IS, NR, RD, ST",1
"AG, BC, CP, ELT, FN, HL, ST",1
"ED, HL, IS, ST",1
"ED, ELT, ENV, IS, NR, ST",1
"CD, ED, ELT, ENV, LJL",1
"DPR, ENV, HL, HO, O",1
"AR, CD, ED, O",1
"AR, CD, ENV, HU, NR, O, RD",1
"ED, ELT, ENV, NR, RD",1
"DPR, EN, RD, ST",1
"BC, DPR, ELT, ENV, HL, RD, ST",1
"AR, BC, ED, ELT, HU, ST",1
"CD, ENV, LJL, NR",1
"CD, ELT, EN, NR, O",1
"CD, ED, ELT, EN, ENV, FN, HL, HO, LJL, T",1
"DPR, ENV, IS, NR",1
"CD, DPR, ED, NR, RD",1
"BC, ED, LJL, O",1
"AR, BC, CD, ED, ENV, HL, HU, NR, ST",1
"ED, EN, O",1
"AR, CD, ED, ENV, NR",1
"ED, HL, HO, HU, IS, O, T",1
"AG, DPR, ENV, FN, HL, NR",1
"AG, BC, CP, ED, ELT, ENV, HL, IS, NR, RD, ST",1
"AG, BC, CP, ED, ELT, ENV, HL, IS, NR, ST",1
"AG, ED, EN, ENV, FN, HL, NR",1
"AG, ED, FN, HL, NR",1
"ED, HL, HU",1
"ED, ELT, EN, ENV, NR, ST",1
"ENV, RA",1
"AG, BC, CD, ED, ELT, EN, ENV, FN, HL, NR, RD, T",1
"ENV, FN, HL, NR, RD, ST",1
"BC, HL",1
"AG, BC, ED, ELT, ENV, HL, NR, RD, ST",1
"HL, IS, O, ST",1
"IS, O",1
"BC, CD, ED, ENV, FN, IS, LJL, NR",1
"AG, ED, ELT, ENV, NR, ST",1
"CD, ENV, HU, NR, O, RD",1
"ENV, LJL, NR, ST",1
"ED, HU, RD",1
"IS, NR, RD, ST",1
